timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784699062.642362929,6.707972,0.000000,0.210974,0.375673,0.064497,0.001778,0.218723,0.319324,5.475890,0.000202,0.001415,0.002679,0.036817
1784699063.130205697,6.095206,0.000000,0.195180,0.396377,0.318609,0.011224,0.215205,0.366445,4.552629,0.000000,0.000606,0.002728,0.036203
1784699063.773881898,6.862488,0.180717,0.204540,0.419279,0.336200,0.032491,0.232035,0.445024,4.967387,0.000202,0.000606,0.002778,0.041229
1784699064.258002653,6.415462,0.180717,0.214100,0.347531,0.042035,0.000000,0.240629,0.278598,5.064717,0.000202,0.001414,0.002874,0.042645
1784699064.770275767,7.538911,0.173445,0.214280,0.420585,0.399320,0.033714,0.218215,0.362214,5.674868,0.000808,0.000606,0.002631,0.038225
1784699065.286135282,6.619721,0.177103,0.207613,0.398061,0.277614,0.009481,0.216425,0.363327,4.926240,0.000808,0.000606,0.003026,0.039417
1784699065.822303669,6.006265,0.217024,0.207728,0.406947,0.287107,0.038446,0.231345,0.363660,4.212816,0.000000,0.001415,0.002728,0.037049
1784699066.299134770,6.564055,0.025224,0.213682,0.416656,0.417528,0.035883,0.219801,0.338062,4.854241,0.000808,0.000606,0.002875,0.038689
1784699066.842745384,8.058117,0.177192,0.207265,0.412874,0.168655,0.003545,0.217501,0.333225,6.492819,0.000808,0.000606,0.002679,0.040948
1784699067.311027463,7.164815,0.180808,0.200507,0.373511,0.192352,0.010666,0.220878,0.358033,5.584403,0.000808,0.000606,0.002826,0.039417
1784699067.894402971,6.228910,0.177103,0.329404,0.404418,0.355516,0.019554,0.218941,0.378660,4.304753,0.000000,0.000606,0.003215,0.036740
1784699068.410828614,8.769409,0.180717,0.216859,0.376081,0.298455,0.027503,0.368123,0.290951,6.968446,0.000202,0.001414,0.002583,0.038075
1784699068.902078892,6.504981,0.000000,0.239516,0.347050,0.063549,0.001184,0.214342,0.287962,5.308781,0.000202,0.001413,0.002777,0.038205
1784699069.374136908,8.438749,0.177192,0.216798,0.412986,0.402701,0.030977,0.224889,0.319518,6.612053,0.000000,0.000606,0.002874,0.038155
1784699069.935084529,5.572729,0.000000,0.201125,0.381767,0.334233,0.039261,0.218723,0.371634,3.980770,0.000000,0.001415,0.002583,0.041218
1784699070.425834345,9.007201,0.000000,0.230706,0.411229,0.411587,0.039237,0.218723,0.308394,7.344479,0.000000,0.001211,0.002875,0.038760
1784699070.902313130,7.280489,0.000000,0.194908,0.417066,0.384846,0.031090,0.215993,0.345553,5.647584,0.000202,0.001415,0.003507,0.038325
1784699071.366534400,6.695478,0.000000,0.223832,0.415597,0.379458,0.024531,0.215419,0.356800,5.036618,0.000202,0.001415,0.002825,0.038781
1784699071.842212556,7.208344,0.003619,0.217344,0.415597,0.404314,0.004444,0.216496,0.355076,5.550025,0.000202,0.001415,0.002879,0.036933
1784699072.267497282,6.661743,0.000000,0.198433,0.416656,0.328935,0.029136,0.217574,0.375974,5.052531,0.000808,0.000606,0.002925,0.038165
1784699072.737952707,7.806334,0.000000,0.249365,0.415484,0.412817,0.039653,0.216856,0.344150,6.083839,0.000404,0.000606,0.003118,0.040042
1784699073.222130460,7.784616,0.000000,0.213682,0.408820,0.396213,0.038057,0.217574,0.343370,6.124844,0.000202,0.000606,0.003113,0.038135
1784699073.658869795,6.551565,0.000000,0.200732,0.423875,0.371845,0.026814,0.218070,0.343993,4.924256,0.000808,0.000606,0.003507,0.037059
1784699074.150072276,7.990088,0.000000,0.214459,0.407603,0.256264,0.008587,0.229726,0.364440,6.467150,0.000000,0.001213,0.002680,0.037966
1784699074.622057587,8.099931,0.000000,0.204540,0.398927,0.410495,0.037670,0.230499,0.318106,6.457543,0.000000,0.001414,0.002582,0.038155
1784699075.102286420,9.485153,0.057844,0.213861,0.373476,0.301029,0.027420,0.230269,0.294851,7.943669,0.000807,0.000606,0.002824,0.038497
1784699075.583121993,5.620905,0.000000,0.207786,0.377941,0.323129,0.028253,0.229879,0.375709,4.034713,0.000202,0.001415,0.002874,0.039004
1784699076.059001000,8.148350,0.000000,0.200788,0.378631,0.368611,0.035214,0.230805,0.369461,6.520451,0.000000,0.001413,0.002923,0.040053
1784699076.542397661,6.845196,0.166260,0.201349,0.349341,0.296687,0.035171,0.217935,0.358977,5.176176,0.000808,0.000606,0.002973,0.038913
1784699077.034066641,6.400732,0.000000,0.217708,0.360160,0.086482,0.010679,0.216856,0.291840,5.174824,0.000404,0.000605,0.002879,0.038295
1784699077.510757813,5.785980,0.000000,0.207844,0.347208,0.225412,0.003255,0.217646,0.345247,4.394607,0.000000,0.001414,0.002583,0.040764
1784699077.994400010,7.051946,0.003616,0.197770,0.380939,0.238354,0.006522,0.219144,0.359923,5.602739,0.000808,0.000606,0.002825,0.038700
1784699078.534274294,5.744931,0.000000,0.233303,0.347585,0.064712,0.000000,0.219728,0.293666,4.543300,0.000808,0.000606,0.003118,0.038105
1784699079.027169920,5.564860,0.010843,0.322855,0.409804,0.064497,0.009129,0.219290,0.343055,4.142964,0.000202,0.001415,0.002581,0.038225
1784699079.531465192,7.217155,0.000000,0.204654,0.428087,0.388656,0.030368,0.232653,0.342903,5.546672,0.000404,0.001414,0.003219,0.038125
1784699080.043529413,5.542056,0.000000,0.207613,0.399035,0.298752,0.034264,0.215276,0.361153,3.982722,0.000202,0.001414,0.002875,0.038750
1784699080.634215516,6.663395,0.187946,0.201012,0.392429,0.399205,0.035022,0.217574,0.373120,4.815182,0.000000,0.000606,0.002974,0.038325
1784699081.162431098,6.854569,0.000000,0.210386,0.411340,0.394610,0.031901,0.219728,0.368342,5.173873,0.000202,0.001414,0.002825,0.039948
1784699081.651344340,6.627412,0.000000,0.220773,0.417292,0.409704,0.031052,0.216065,0.342746,4.943601,0.000808,0.001415,0.003118,0.040838
1784699082.119799396,5.784164,0.000000,0.217587,0.378760,0.317402,0.038173,0.218368,0.360160,4.211655,0.000404,0.000606,0.002874,0.038175
1784699082.590065708,7.729437,0.010851,0.204197,0.350333,0.196227,0.024827,0.218433,0.303570,6.379115,0.000000,0.001413,0.002585,0.037886
1784699083.044325844,8.200915,0.000000,0.214220,0.419325,0.405661,0.040858,0.215777,0.306411,6.554379,0.000808,0.000606,0.002828,0.040042
1784699083.622524023,5.509371,0.000000,0.223645,0.350289,0.074394,0.007119,0.217935,0.343993,4.248301,0.000202,0.001415,0.002631,0.039447
1784699084.097671752,6.101739,0.018085,0.230127,0.392004,0.059181,0.005900,0.209234,0.290817,4.852775,0.000000,0.001411,0.002922,0.039283
