Profiling file: onnxruntime_profile__2026-06-02_07-28-15_187.json
FPS (preprocess + inference): 74.25695478355941
Name                 Type          Forward_MACs  FPercent        Memory  MPercent        Params  PPercent    InShape      OutShape
node_Conv_1110       Conv            37,765,120  18.01%       2,425,856  5.13%          590,080  5.65%       1x256x16x16  1x256x8x8
node_Mul_852         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Conv_1144       Conv               526,336  0.25%          139,776  0.30%           32,896  0.31%       1x256x4x4    1x128x4x4
node_Sigmoid_92      Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_483     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Conv_1152       Conv             1,050,624  0.50%        1,058,816  2.24%          262,656  2.51%       1x512x2x2    1x512x2x2
node_Mul_903         Mul                  5,120  0.00%           20,480  0.04%                0  0.00%       1x1280x2x2   1x1280x2x2
node_Mul_254         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Add_467         Add                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Conv_1162       Conv               590,336  0.28%          592,384  1.25%          147,584  1.41%       1x128x2x2    1x128x2x2
node_Conv_1106       Conv             1,064,960  0.51%           82,176  0.17%            4,160  0.04%       1x64x16x16   1x64x16x16
node_Mul_394         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x512x4x4    1x512x4x4
node_Conv_1158       Conv               590,336  0.28%          592,384  1.25%          147,584  1.41%       1x128x2x2    1x128x2x2
node_Add_868         Add                  1,024  0.00%            4,096  0.01%                0  0.00%       1x256x2x2    1x256x2x2
node_Softmax_914     Softmax              2,916  0.00%              324  0.00%                0  0.00%       1x81         1x81
node_Mul_359         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x128x8x8    1x128x8x8
node_Conv_1090       Conv            18,907,136  9.02%          426,496  0.90%           73,856  0.71%       1x64x32x32   1x128x16x16
node_Sigmoid_393     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x512x4x4    1x512x4x4
node_Add_111         Add                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_608     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Sigmoid_851     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Mul_626         Mul                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Sigmoid_215     Sigmoid            524,288  0.25%           65,536  0.14%                0  0.00%       1x256x8x8    1x256x8x8
node_Split_992       Split                    0  0.00%           32,768  0.07%                0  0.00%       1x512x4x4    1x256x4x4
node_Mul_886         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Sigmoid_340     Sigmoid            131,072  0.06%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Mul_609         Mul                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Conv_1184       Conv             2,626,560  1.25%        2,647,040  5.60%          656,640  6.29%       1x512x2x2    1x1280x2x2
node_Conv_1104       Conv               532,480  0.25%           41,088  0.09%            2,080  0.02%       1x64x16x16   1x32x16x16
node_Conv_1130       Conv            37,756,928  18.01%       9,472,000  20.04%       2,359,808  22.59%      1x512x8x8    1x512x4x4
node_Add_819         Add                  1,024  0.00%            4,096  0.01%                0  0.00%       1x256x2x2    1x256x2x2
node_Conv_1114       Conv               528,384  0.25%           49,408  0.10%            8,256  0.08%       1x128x8x8    1x64x8x8
node_Add_289         Add                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Sigmoid_448     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Add_644         Add                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Conv_1134       Conv               526,336  0.25%          139,776  0.30%           32,896  0.31%       1x256x4x4    1x128x4x4
node_Sigmoid_885     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Mul_216         Mul                 16,384  0.01%           65,536  0.14%                0  0.00%       1x256x8x8    1x256x8x8
node_Add_502         Add                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Conv_1138       Conv             2,361,344  1.13%          598,528  1.27%          147,584  1.41%       1x128x4x4    1x128x4x4
node_Mul_484         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Mul_377         Mul                 32,768  0.02%          131,072  0.28%                0  0.00%       1x512x8x8    1x512x8x8
node_Sigmoid_431     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_376     Sigmoid          1,048,576  0.50%          131,072  0.28%                0  0.00%       1x512x8x8    1x512x8x8
node_Conv_1112       Conv             4,210,688  2.01%          328,704  0.70%           65,792  0.63%       1x256x8x8    1x256x8x8
node_Mul_501         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_144     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Conv_1116       Conv             2,363,392  1.13%          164,096  0.35%           36,928  0.35%       1x64x8x8     1x64x8x8
node_Sigmoid_127     Sigmoid            262,144  0.13%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Sigmoid_731     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Split_1057      Split                    0  0.00%            8,208  0.02%                2  0.00%       1x512x2x2    1x256x2x2
node_Mul_199         Mul                 65,536  0.03%          262,144  0.55%                0  0.00%       1x256x16x16  1x256x16x16
node_Sigmoid_518     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Add_146         Add                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Conv_1180       Conv               525,312  0.25%          529,408  1.12%          131,328  1.26%       1x512x2x2    1x256x2x2
node_Add_679         Add                    512  0.00%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Mul_36          Mul                 32,768  0.02%          131,072  0.28%                0  0.00%       1x128x16x16  1x128x16x16
node_Sigmoid_500     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Mul_19          Mul                 65,536  0.03%          262,144  0.55%                0  0.00%       1x64x32x32   1x64x32x32
node_Mul_572         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Transpose_782   Transpose                0  0.00%            2,048  0.00%                0  0.00%       1x4x32x4     1x4x4x32
node_Conv_1094       Conv               532,480  0.25%           41,088  0.09%            2,080  0.02%       1x64x16x16   1x32x16x16
node_Mul_306         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Conv_1140       Conv             2,361,344  1.13%          598,528  1.27%          147,584  1.41%       1x128x4x4    1x128x4x4
node_Conv_1142       Conv             2,361,344  1.13%          598,528  1.27%          147,584  1.41%       1x128x4x4    1x128x4x4
node_Conv_1122       Conv             2,363,392  1.13%          164,096  0.35%           36,928  0.35%       1x64x8x8     1x64x8x8
node_Sigmoid_571     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Sigmoid_198     Sigmoid          2,097,152  1.00%          262,144  0.55%                0  0.00%       1x256x16x16  1x256x16x16
node_Mul_128         Mul                  8,192  0.00%           32,768  0.07%                0  0.00%       1x32x16x16   1x32x16x16
node_Mul_181         Mul                 16,384  0.01%           65,536  0.14%                0  0.00%       1x64x16x16   1x64x16x16
node_Sigmoid_52      Sigmoid          1,048,576  0.50%          131,072  0.28%                0  0.00%       1x128x16x16  1x128x16x16
node_Conv_1168       Conv             1,574,912  0.75%        1,583,104  3.35%          393,728  3.77%       1x768x2x2    1x512x2x2
node_Mul_537         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x256x4x4    1x256x4x4
node_Conv_1128       Conv            12,615,680  6.02%          919,552  1.95%          197,120  1.89%       1x384x8x8    1x512x8x8
node_Mul_271         Mul                  4,096  0.00%           16,384  0.03%                0  0.00%       1x64x8x8     1x64x8x8
node_Sigmoid_748     Sigmoid             65,536  0.03%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
node_Split_1064      Split                    0  0.00%            8,216  0.02%                3  0.00%       1x4x128x4    1x4x32x4
node_Sigmoid_660     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Sigmoid_232     Sigmoid            524,288  0.25%           65,536  0.14%                0  0.00%       1x256x8x8    1x256x8x8
node_Conv_1096       Conv             2,367,488  1.13%           69,760  0.15%            9,248  0.09%       1x32x16x16   1x32x16x16
node_Mul_466         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x128x4x4    1x128x4x4
node_Sigmoid_677     Sigmoid             16,384  0.01%            2,048  0.00%                0  0.00%       1x128x2x2    1x128x2x2
node_Mul_589         Mul                  2,048  0.00%            8,192  0.02%                0  0.00%       1x512x2x2    1x512x2x2
