FPS (preprocess + inference): 167.16496202780746
Name                             Type                     Forward_MACs  FPercent        Memory  MPercent       Params  PPercent    InShape      OutShape
node_Mul_698                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2334                   Conv                          147,712  0.23%          148,736  1.14%          36,928  1.51%       1x64x2x2     1x64x2x2
node_Conv_2044                   Conv                          590,336  0.92%          592,384  4.55%         147,584  6.04%       1x128x2x2    1x128x2x2
node_Mul_2035                    Mul                             2,048  0.00%            8,192  0.06%               0  0.00%       1x128x4x4    1x128x4x4
node_Mul_2095                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Conv_2302                   Conv                           28,800  0.04%           29,312  0.23%           7,200  0.29%       1x224x2x2    1x32x2x2
node_Conv_2212                   Conv                           40,960  0.06%           17,024  0.13%             160  0.01%       1x16x16x16   1x16x16x16
node_Conv_2261                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Mul_385                     Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Conv_2280                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Conv_2287                   Conv                            2,112  0.00%            2,368  0.02%             528  0.02%       1x32x2x2     1x16x2x2
node_Mul_1654                    Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Conv_2269                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Sigmoid_322                 Sigmoid                        65,536  0.10%            8,192  0.06%               0  0.00%       1x32x8x8     1x32x8x8
node_Sigmoid_908                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Mul_1247                    Mul                                64  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Mul_1892                    Mul                             6,144  0.01%           24,960  0.19%              96  0.00%       1x96x8x8     1x96x8x8
node_Conv_2274                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Conv_2270                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Conv_2310                   Conv                          164,864  0.26%           45,312  0.35%          10,304  0.42%       1x160x4x4    1x64x4x4
node_Conv_2256                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
