timestamp,total_power_w,3V7_WL_SW,3V3_SYS,1V8_SYS,DDR_VDD2,DDR_VDDQ,1V1_SYS,0V8_SW,VDD_CORE,3V3_DAC,3V3_ADC,0V8_AON,HDMI
1784698556.162161792,7.033567,0.000000,0.239985,0.355630,0.307176,0.001480,0.217068,0.348673,5.519009,0.000808,0.001413,0.003115,0.039210
1784698556.630284345,5.635485,0.000000,0.230963,0.362905,0.017245,0.006810,0.220019,0.282500,4.470552,0.000000,0.001213,0.002780,0.040498
1784698557.109584628,8.021545,0.188087,0.194800,0.398927,0.069186,0.001471,0.217862,0.400521,6.506538,0.000808,0.001011,0.002928,0.039406
1784698557.569257687,6.548273,0.169874,0.204711,0.387359,0.208471,0.000000,0.227267,0.311231,4.993822,0.000808,0.000606,0.002679,0.041445
1784698558.018609736,9.273888,0.195175,0.230320,0.345360,0.193056,0.022207,0.219801,0.354913,7.669482,0.000000,0.001415,0.002825,0.039334
1784698558.570317638,8.501598,0.195321,0.327913,0.432317,0.280324,0.003245,0.230961,0.312791,6.675901,0.000000,0.001213,0.002679,0.038933
1784698559.042254554,8.731802,0.000000,0.210386,0.386520,0.159781,0.002068,0.217357,0.322636,7.389585,0.000000,0.001415,0.002679,0.039375
1784698559.514231988,7.591159,0.000000,0.205167,0.343430,0.090536,0.002060,0.218723,0.350393,6.337052,0.000000,0.002022,0.002679,0.039097
1784698559.974201302,6.849782,0.000000,0.207786,0.336686,0.025962,0.010006,0.217068,0.482720,5.523645,0.000808,0.001213,0.002778,0.041110
1784698560.438439110,8.804235,0.000000,0.213921,0.386730,0.263073,0.000000,0.235119,0.279250,7.382571,0.000000,0.001213,0.002777,0.039581
1784698560.898422090,9.232716,0.000000,0.197825,0.362805,0.269632,0.020431,0.239512,0.351196,7.743790,0.000000,0.001617,0.003118,0.042790
1784698561.365983598,9.281705,0.025313,0.341375,0.437590,0.299731,0.008556,0.221171,0.335891,7.568004,0.000000,0.002020,0.002679,0.039375
1784698561.834158642,6.851330,0.000000,0.207844,0.336480,0.141708,0.001181,0.237564,0.375194,5.506395,0.000000,0.001213,0.002630,0.041121
1784698562.298422207,6.707116,0.025319,0.224020,0.384450,0.071419,0.016541,0.215348,0.323451,5.399371,0.000000,0.001213,0.002633,0.043351
1784698562.754193797,7.574969,0.000000,0.207613,0.350194,0.025902,0.000595,0.234118,0.349132,6.365104,0.000000,0.001213,0.002632,0.038466
1784698563.298125307,7.748783,0.050626,0.246058,0.355474,0.054950,0.000000,0.216856,0.310309,6.468665,0.000808,0.000809,0.003118,0.041110
1784698563.766058885,6.362824,0.000000,0.207960,0.342598,0.089636,0.000296,0.216496,0.312297,5.145484,0.000808,0.001415,0.002923,0.042911
1784698564.238637587,7.792078,0.000000,0.206859,0.401228,0.130285,0.001184,0.215777,0.349613,6.442826,0.000808,0.001415,0.003120,0.038963
1784698564.698308912,8.715604,0.000000,0.233760,0.364470,0.255123,0.020418,0.215920,0.287577,7.291393,0.000808,0.001414,0.003071,0.041650
1784698565.162238565,9.230173,0.000000,0.194963,0.389120,0.160647,0.023377,0.217935,0.348972,7.848570,0.000808,0.001213,0.002484,0.042084
1784698565.634237543,6.745673,0.000000,0.223645,0.348340,0.118599,0.000592,0.214990,0.302651,5.491591,0.000000,0.001617,0.002484,0.041164
1784698566.110040017,7.889914,0.000000,0.201125,0.351859,0.127435,0.006502,0.229269,0.330557,6.598129,0.000000,0.001416,0.002631,0.040991
1784698566.574381204,9.074296,0.000000,0.211092,0.344354,0.162696,0.021667,0.239433,0.360538,7.688999,0.000808,0.000606,0.002777,0.041326
1784698567.038516891,7.687520,0.000000,0.211445,0.357014,0.058337,0.003271,0.217935,0.319958,6.474318,0.000808,0.000606,0.002923,0.040905
1784698567.514314732,5.607994,0.000000,0.200956,0.348740,0.023759,0.003840,0.217935,0.307472,4.461149,0.000808,0.000606,0.002875,0.039854
1784698567.970152518,6.311551,0.000000,0.226886,0.344448,0.076550,0.000000,0.218215,0.324640,5.077933,0.000202,0.001416,0.002632,0.038629
1784698568.446607857,8.465435,0.000000,0.255914,0.346299,0.298554,0.004128,0.217357,0.287699,7.012953,0.000000,0.001212,0.002974,0.038345
1784698569.022140882,9.104439,0.000000,0.213802,0.347963,0.184184,0.020727,0.304044,0.346953,7.640775,0.000000,0.001415,0.002679,0.041897
1784698569.470128061,8.885635,0.000000,0.243568,0.345078,0.176033,0.002068,0.214698,0.297971,7.560176,0.000202,0.001818,0.002924,0.041099
1784698570.046466713,7.628181,0.177280,0.184698,0.353714,0.372755,0.001183,0.219801,0.343527,5.932935,0.000808,0.000606,0.002928,0.037946
1784698570.509165913,9.371739,0.213353,0.210856,0.376591,0.119637,0.011794,0.214342,0.285490,7.895314,0.000808,0.000606,0.003021,0.039927
1784698571.070781040,9.281977,0.220475,0.229484,0.388804,0.221367,0.000000,0.224408,0.278598,7.671787,0.000000,0.001213,0.003118,0.042723
1784698571.554161793,7.873935,0.231492,0.221266,0.355185,0.042049,0.003241,0.216568,0.293425,6.465071,0.000000,0.002022,0.002679,0.040937
1784698572.022617245,9.003993,0.231376,0.201293,0.345830,0.039919,0.000000,0.217646,0.291974,7.632817,0.000000,0.001213,0.002972,0.038953
1784698572.510115715,8.131521,0.198988,0.207265,0.350194,0.074221,0.029906,0.216496,0.293559,6.717516,0.000808,0.000606,0.002875,0.039087
1784698572.970019377,8.248651,0.231376,0.207902,0.392429,0.280562,0.001185,0.220805,0.277436,6.592067,0.000808,0.000606,0.002584,0.040891
1784698573.442489804,6.573591,0.173576,0.237072,0.348961,0.041093,0.027951,0.217429,0.292132,5.189208,0.000808,0.001415,0.002825,0.041121
1784698573.898028135,6.985373,0.173619,0.195289,0.339360,0.153252,0.000883,0.218215,0.308891,5.548349,0.000808,0.001416,0.002924,0.042367
1784698574.358220924,7.309341,0.166427,0.214698,0.361144,0.057295,0.002071,0.237355,0.327281,5.897724,0.000000,0.001415,0.002778,0.041153
1784698574.834352438,7.202122,0.166551,0.211151,0.352145,0.297762,0.003532,0.230805,0.344150,5.552537,0.000000,0.001415,0.002874,0.039200
1784698575.310947025,9.206003,0.000000,0.238913,0.369452,0.160487,0.020356,0.217357,0.351631,7.805564,0.000808,0.001415,0.002923,0.037097
1784698575.778258527,5.643782,0.000000,0.213562,0.340280,0.019439,0.002060,0.216856,0.306130,4.499625,0.000000,0.001415,0.003121,0.041294
1784698576.251824429,7.662929,0.000000,0.191606,0.341476,0.046515,0.004712,0.218070,0.323080,6.492565,0.000000,0.001212,0.002777,0.040916
1784698576.820069501,8.197132,0.000000,0.266301,0.373423,0.280510,0.010916,0.219801,0.319324,6.681744,0.000000,0.001213,0.002682,0.041218
1784698577.285921650,7.168937,0.000000,0.214399,0.343527,0.356884,0.010061,0.217140,0.371732,5.612885,0.000808,0.000606,0.002969,0.037926
1784698577.750247374,5.427604,0.000000,0.201012,0.360753,0.022627,0.006184,0.220219,0.321961,4.253007,0.000000,0.001213,0.002632,0.037996
1784698578.222417367,6.170940,0.000000,0.198046,0.359382,0.159199,0.005922,0.217574,0.343055,4.845656,0.000808,0.000606,0.002776,0.037916
1784698578.682145594,8.236367,0.173576,0.207786,0.389352,0.070453,0.001182,0.219014,0.354913,6.774824,0.000808,0.000606,0.002829,0.041024
1784698579.134519993,8.284113,0.177236,0.204369,0.344448,0.402690,0.002354,0.229269,0.290038,6.588183,0.000000,0.001213,0.002825,0.041488
1784698579.582786544,9.035058,0.180853,0.208076,0.375294,0.118638,0.010300,0.214847,0.308252,7.575916,0.000000,0.001212,0.003021,0.038649
1784698580.058414402,7.593922,0.173662,0.220958,0.379596,0.049678,0.001775,0.303439,0.311231,6.107094,0.000808,0.003234,0.003216,0.039231
1784698580.533062018,6.787078,0.000000,0.201630,0.362414,0.075772,0.005879,0.214698,0.291864,5.590218,0.000000,0.001415,0.003313,0.039875
